date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:23	3907/3907	---M--	200	added ('OK')	text/html	etag:%2261439-f43-5545c37b53784%22	http://www.jazzandhotguitar.com/MBAll/Lesson-11/Lesson_11.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-11/Lesson_11.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:24	10270/10270	---M--	200	added ('OK')	text/html	etag:%226144e-281e-5545c37b556c5%22	http://www.jazzandhotguitar.com/MBAll/Lesson-12/Lesson_12.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-12/Lesson_12.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:24	4941/4941	---M--	200	added ('OK')	text/html	etag:%2261470-134d-5545c37b59545%22	http://www.jazzandhotguitar.com/MBAll/Lesson-13/Lesson_13.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-13/Lesson_13.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:24	9419/9419	---M--	200	added ('OK')	text/html	etag:%2261482-24cb-5545c37b5c425%22	http://www.jazzandhotguitar.com/MBAll/Lesson-14/Lesson_14.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-14/Lesson_14.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:24	9638/9638	---M--	200	added ('OK')	text/html	etag:%22614a5-25a6-5545c37b5f305%22	http://www.jazzandhotguitar.com/MBAll/Lesson-15/Lesson_15.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-15/Lesson_15.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:25	5405/5405	---M--	200	added ('OK')	text/html	etag:%22614c3-151d-5545c37b64125%22	http://www.jazzandhotguitar.com/MBAll/Lesson-16/Lesson_16.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-16/Lesson_16.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:25	8580/8580	---M--	200	added ('OK')	text/html	etag:%22614df-2184-5545c37b66065%22	http://www.jazzandhotguitar.com/MBAll/Lesson-17/Lesson_17.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-17/Lesson_17.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:25	9648/9648	---M--	200	added ('OK')	text/html	etag:%22614fe-25b0-5545c37b68f46%22	http://www.jazzandhotguitar.com/MBAll/Lesson-18/Lesson_18.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-18/Lesson_18.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:26	19889/19889	---M--	200	added ('OK')	text/html	etag:%2261519-4db1-5545c37b6cdc6%22	http://www.jazzandhotguitar.com/MBAll/Lesson-19/Lesson_19.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-19/Lesson_19.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:26	5333/5333	---M--	200	added ('OK')	text/html	etag:%2261536-14d5-5545c37b6ed06%22	http://www.jazzandhotguitar.com/MBAll/Lesson-20/Lesson_20.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-20/Lesson_20.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:27	8813/8813	---M--	200	added ('OK')	text/html	etag:%2261563-226d-5545c37b73b26%22	http://www.jazzandhotguitar.com/MBAll/Lesson-21/Lesson_21.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-21/Lesson_21.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:27	4597/4597	---M--	200	added ('OK')	text/html	etag:%226157f-11f5-5545c37b75a66%22	http://www.jazzandhotguitar.com/MBAll/Lesson-22/Lesson_22.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-22/Lesson_22.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:27	4689/4689	---M--	200	added ('OK')	text/html	etag:%22615b3-1251-5545c37b7b827%22	http://www.jazzandhotguitar.com/MBAll/Lesson-23/Lesson_23.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-23/Lesson_23.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:27	19965/19965	---M--	200	added ('OK')	text/html	etag:%2261607-4dfd-5545c37b85467%22	http://www.jazzandhotguitar.com/MBAll/Lesson-23A-Review%20and%20additional%20Material/Chord%20Review%20Lesson.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-23A-Review%20and%20additional%20Material/Chord%20Review%20Lesson.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:28	6094/6094	---M--	200	added ('OK')	text/html	etag:%2261617-17ce-5545c37b873a7%22	http://www.jazzandhotguitar.com/MBAll/Lesson-24/Lesson_24.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-24/Lesson_24.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:29	2256/2256	---M--	200	added ('OK')	text/html	etag:%2261623-8d0-5545c37b88347%22	http://www.jazzandhotguitar.com/MBAll/Lesson-25/Lesson_25.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-25/Lesson_25.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:29	9396/9396	---M--	200	added ('OK')	text/html	etag:%226162d-24b4-5545c37b8a287%22	http://www.jazzandhotguitar.com/MBAll/Lesson-26/Lesson_26.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-26/Lesson_26.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:29	6690/6690	---M--	200	added ('OK')	text/html	etag:%2261639-1a22-5545c37b8b228%22	http://www.jazzandhotguitar.com/MBAll/Lesson-27/Lesson_27.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-27/Lesson_27.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:29	3698/3698	---M--	200	added ('OK')	text/html	etag:%2261645-e72-5545c37b8c1c8%22	http://www.jazzandhotguitar.com/MBAll/Lesson-28/Lesson_28.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-28/Lesson_28.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:29	3441/3441	---M--	200	added ('OK')	text/html	etag:%226164f-d71-5545c37b8d168%22	http://www.jazzandhotguitar.com/MBAll/Lesson-29/Lesson_29.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-29/Lesson_29.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:30	6877/6877	---M--	200	added ('OK')	text/html	etag:%2261664-1add-5545c37b8f0a8%22	http://www.jazzandhotguitar.com/MBAll/Lesson-30/Lesson_30.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-30/Lesson_30.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:30	3458/3458	---M--	200	added ('OK')	text/html	etag:%2261682-d82-5545c37b91f88%22	http://www.jazzandhotguitar.com/MBAll/Lesson-31/Lesson_31.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-31/Lesson_31.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:30	5505/5505	---M--	200	added ('OK')	text/html	etag:%2261692-1581-5545c37b93ec8%22	http://www.jazzandhotguitar.com/MBAll/Lesson-32/Lesson_32.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-32/Lesson_32.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:31	4166/4166	---M--	200	added ('OK')	text/html	etag:%226169f-1046-5545c37b94e68%22	http://www.jazzandhotguitar.com/MBAll/Lesson-33/Lesson_33.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-33/Lesson_33.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:31	5028/5028	---M--	200	added ('OK')	text/html	etag:%22616bd-13a4-5545c37b98ce8%22	http://www.jazzandhotguitar.com/MBAll/Lesson-34/Lesson_34.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-34/Lesson_34.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:31	7366/7366	---M--	200	added ('OK')	text/html	etag:%22616ff-1cc6-5545c37b9eaa9%22	http://www.jazzandhotguitar.com/MBAll/Lesson-35/Lesson_35.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-35/Lesson_35.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:31	2367/2367	---M--	200	added ('OK')	text/html	etag:%226170b-93f-5545c37ba09e9%22	http://www.jazzandhotguitar.com/MBAll/Lesson-36/Lesson_36.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-36/Lesson_36.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:32	6139/6139	---M--	200	added ('OK')	text/html	etag:%226170f-17fb-5545c37ba09e9%22	http://www.jazzandhotguitar.com/MBAll/Lesson-37/Lesson_37.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-37/Lesson_37.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:32	5168/5168	---M--	200	added ('OK')	text/html	etag:%2261735-1430-5545c37ba4869%22	http://www.jazzandhotguitar.com/MBAll/Lesson-38/Lesson_38.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-38/Lesson_38.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:32	4401/4401	---M--	200	added ('OK')	text/html	etag:%226174e-1131-5545c37ba67a9%22	http://www.jazzandhotguitar.com/MBAll/Lesson-39/Lesson_39.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-39/Lesson_39.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:32	5411/5411	---M--	200	added ('OK')	text/html	etag:%2261777-1523-5545c37baa629%22	http://www.jazzandhotguitar.com/MBAll/Lesson-40/Lesson_40.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-40/Lesson_40.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:33	3148/3148	---M--	200	added ('OK')	text/html	etag:%22617d0-c4c-5545c37bb32ca%22	http://www.jazzandhotguitar.com/MBAll/Lesson-41/Lesson_41.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-41/Lesson_41.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:33	2784/2784	---M--	200	added ('OK')	text/html	etag:%22617df-ae0-5545c37bb426a%22	http://www.jazzandhotguitar.com/MBAll/Lesson-42/Lesson_42.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-42/Lesson_42.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:33	10818/10818	---M--	200	added ('OK')	text/html	etag:%2261828-2a42-5545c37bbcf0a%22	http://www.jazzandhotguitar.com/MBAll/Lesson-43/Lesson_43.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-43/Lesson_43.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:33	3374/3374	---M--	200	added ('OK')	text/html	etag:%226183d-d2e-5545c37bbee4a%22	http://www.jazzandhotguitar.com/MBAll/Lesson-44/Lesson_44.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-44/Lesson_44.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:34	2238/2238	---M--	200	added ('OK')	text/html	etag:%2261857-8be-5545c37bc2ccb%22	http://www.jazzandhotguitar.com/MBAll/Lesson-45/Lesson_45.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-45/Lesson_45.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:34	2044/2044	---M--	200	added ('OK')	text/html	etag:%2261888-7fc-5545c37bc9a2b%22	http://www.jazzandhotguitar.com/MBAll/Lesson-46/Lesson_46.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-46/Lesson_46.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:34	8063/8063	---M--	200	added ('OK')	text/html	etag:%22618bc-1f7f-5545c37bd078b%22	http://www.jazzandhotguitar.com/MBAll/Lesson-47/Lesson_47.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-47/Lesson_47.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:34	3404/3404	---M--	200	added ('OK')	text/html	etag:%2261931-d4c-5545c37bde24c%22	http://www.jazzandhotguitar.com/MBAll/Lesson-48/Lesson_48.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-48/Lesson_48.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:35	2828/2828	---M--	200	added ('OK')	text/html	etag:%2261949-b0c-5545c37be018c%22	http://www.jazzandhotguitar.com/MBAll/Lesson-49/Lesson_49.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-49/Lesson_49.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:35	6842/6842	---M--	200	added ('OK')	text/html	etag:%2261966-1aba-5545c37be306c%22	http://www.jazzandhotguitar.com/MBAll/Lesson-50/Lesson_50.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-50/Lesson_50.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:35	1995/1995	---M--	200	added ('OK')	text/html	etag:%2261972-7cb-5545c37be4fad%22	http://www.jazzandhotguitar.com/MBAll/Lesson-51/Lesson_51.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-51/Lesson_51.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:35	4842/4842	---M--	200	added ('OK')	text/html	etag:%226199a-12ea-5545c37be8e2d%22	http://www.jazzandhotguitar.com/MBAll/Lesson-52/Lesson_52.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-52/Lesson_52.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:36	9590/9590	---M--	200	added ('OK')	text/html	etag:%22619d4-2576-5545c37bf1acd%22	http://www.jazzandhotguitar.com/MBAll/Lesson-52A-Review%20of%20Soloing/Soloing%20Review%20Lesson.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Lesson-52A-Review%20of%20Soloing/Soloing%20Review%20Lesson.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:36	9764/9764	---M--	200	added ('OK')	text/html	etag:%226115c-2624-5545c3778e9ce%22	http://www.jazzandhotguitar.com/MBAll/Appendix-1/Appendix_I.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Appendix-1/Appendix_I.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:36	12493/12493	---M--	200	added ('OK')	text/html	etag:%226117f-30cd-5545c3779478e%22	http://www.jazzandhotguitar.com/MBAll/Appendix-2/Appendix_2.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Appendix-2/Appendix_2.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
16:46:37	4328/4328	---M--	200	added ('OK')	text/html	etag:%22611b9-10e8-5545c3779d42f%22	http://www.jazzandhotguitar.com/MBAll/Appendix-3/Appendix_3.htm	C:/Users/Tim%20Green/Documents/websites/MickeyBaker/www.jazzandhotguitar.com/MBAll/Appendix-3/Appendix_3.html	(from http://www.jazzandhotguitar.com/MBAll/Lessons.htm)
